Username,Comment,Date
khairuddinarbi,"Quality:Perfect
Performance:Fast delivery and perfect packaging

Satisfied with their service. Takes 4 days to delivered, quite fast. Packaging perfect no dented at all. Excellent service.",2024-03-21
angela020968,"Quality:good
Performance:good

Ordered on 25/2 & received in on 29/2. Item well packed & received safely. Good value purchase during 25.2 sales with RM 800 shop voucher & 20k cash back coins.",2024-03-04
eddiezamzurie,"Performance:latest model
Quality:good as usual iphone

Delivery abit slow but its ok as long as received safely
Thanks itworld
For the item
Im very enjoyed",2024-03-09
xyen212,"Performance:good
Quality:good

Authentic products, pre-order and get within a week, get best offer price. Everything is good but only the delivery abit scary cause not pass direct to owner, rider just put on my company front desk.",2024-03-03
kitleesk97,"Quality:superb
Performance:superb

Estimate delivery arrive in 2 weeks, but arrived my place with just few days… very surprised with the efficiency! Product checked ✔️ Authentic product, Recommended!",2024-02-18
ridzuanmahad,"Performance:excellent
Quality:apple quality is excellent

Alhamdulillah. I am happy that the item arrived today. Very quick delivery by the seller. The item was wrapped very nicely and safely. Good value for your money. Thank you very much seller. The price is cheaper than other competitors.",2024-03-10
usopsantooz,"Performance:terbaik
Quality:superb

Pembelian yang sangat berbaloi hampir rm1000 voucher..jimat banyak
14 pro max aku rasanya lagi mahal haha
Thnk u seller",2024-03-23
z*****n,"Quality:Good
Performance:GOOD

Purchase date 26/10. Delivered 29/10. Quite fast. So far there’s no problem with the phone. Tq!!",2024-03-20
m*****n,"Quality:like advertise
Performance:top notch

Received with good condition from seller.. will buy again with a great price from all sellers in shopee.. thank you",2024-03-19
f*****s,upgrade my ip11 to ip 15 pro max. delivery quite slow but overall okay. packaging also very secured.,2024-03-04
stephc,"Performance:Great

Working well and it’s an original phone after checking the serial number. Bought it at a cheaper price during 11.11, worth it.",2024-03-12
kerol_84,"Quality:paduu
Performance:mantappl

Tak sampai seminggu hp dah sampai,memang terbaik lahh 👍👍👍",2024-03-06
i*****i,"Performance:good performance
Quality:good quality

Always buy from this seller, fast ship out and delivery good",2024-02-28
sungsiew1977,"Quality:excellent
Performance:excellent

Received in good condition, fast delivery, worth of money and will buy it again.",2024-03-02
s*****n,"Quality:Good
Performance:Good

Good quality, Fast delivery, Item received in good condition.",2024-03-08
b*****k,"Fast delivery, package protection very good. So far no problems hope everything is ok.",2024-03-10
malwa,"Sampai dalam keadaan baik, tak mengecewakan.. harga pun dapat murah gila dari kedai…. Pre order tapi 3hari dah sampai… terbaik seller",2024-03-22
x*****e,"Performance:good phone

Cheaper than store in the mall. Fast delivery and wrapped properly.",2024-03-10
z*****n,"Performance:Tiptop
Quality:Tiptop

Solid overall.
Pro Max feel more lighter. 
Pre-Order but delivered within 3 days.",2024-03-05
x*****8,"Performance:great
Quality:great

Got it with further discount hence cheaper den retail price!",2024-03-11
azfaralways,"Quality:good
Performance:excellent

Everything performed well, good job for IT world team💕 
#Iphone15promax",2024-03-19
c*****g,"Performance:great
Quality:good

Iphone always my favorite phone, never let me down far…",2024-01-08
m*****t,"Performance:love it
Quality:lighter than my Iphoen 14 pro 🤣

Like it really with bigger screen and lighter then iPhone 14 pro.",2024-03-22
s*****3,"The item delivered faster than the expected date, and in good condition with protection, but the iPhone box itself got some dirt",2024-02-03
s*****l,"Quality:Good
Performance:Good

Good quality, Fast delivery, Item received in good condition.",2024-03-05
jerryngan,"Quality:perfect

Thank you seller for super fast shipping and wellpacking also everything comes in good condition and well received appreciate a lot",2024-03-04
jerryngan,"Quality:perfect

Thank you seller for super fast shipping and wellpacking also everything comes in good condition and well received appreciate a lot",2024-03-04
s*****n,"Quality:Good
Performance:Good

Good quality, Fast delivery, Item received in good condition.",2024-02-29
s*****l,"Quality:Good
Performance:Good

Good quality, Fast delivery, Item received in good condition.",2024-03-03
zyong83,"Quality:Excellent
Performance:best of the best

Original Apple phone. Genuine seller and very satisfied.",2024-02-24
nurulnadia_13,Sgt recomended sgt..seller bila kita tnye dia rply gn cpt..brg pn dlm keadaan okay..hrga sgt2 murh dn original..delivery pn sgt pantas,2024-02-23
s*****n,"Performance:excellent
Quality:superb

The latest Iphone 15 Pro Max in the market !!!",2024-03-08
aimanzufay,"Quality:great
Performance:good

The video is about the box okay. 😅 Overall, great using it.",2024-03-02
97penyuterbang,took only 3 days to delivery..got many discount at the time i buy..only 6.3k..good job seller,2024-02-22
louiseoh,"Quality:good
Performance:good

It’s an original phone. It’s a nice seller and the ninja delivery service is very good.",2024-03-04
s*****6,"Quality:padu
Performance:syahdu

Very good
Very fast
Very nice
Very accurate
Very smooth
Very beautiful
Very handsome",2024-03-13
a*****_,"Quality:good quality and
Performance:good performance and

Fast ship out and shipping from ninjavan, power seller",2024-02-28
a*****_,"Performance:Great performance
Quality:cegreat performanceperformn

Very fast delivery even tho seller put pre order, 3 days arrived.",2024-02-20
n*****u,"Performance:good performance
Quality:good quality

Always super fast delivery from this seller, even pre order item ship out very fast, recommended!",2024-02-28
n*****u,"Performance:good performance
Quality:good quality

Always super fast delivery from this seller, even pre order item ship out very fast, recommended!",2024-02-28
j*****1,"Performance:quick nice
Quality:Very nice

Fast delivery and good service thanks will repeat again",2024-03-02
a*****_,"Performance:good performance
Quality:good quality

Super fast ship out from seller, well done!",2024-03-18
c*****y,"Performance:good
Quality:good

Thanks seller for shipping it out fast, got it within 4 days!",2024-03-23
s*****6,"Performance:best

Speedy delivery! Speedy shipment! Efficient and bought during sales! Says preorder ship in 5 days but ship just next day after ordering. Terbaik!",2024-02-20
n*****u,"Quality:good quality and performance
Performance:good performance and quality

Super fast delivery, thank you seller",2024-02-24
i*****w,"Performance:great
Quality:great

Very fast delivery although it’s pre order item. Genuine product.",2024-03-08
xxmiraco,"Quality:overall it’s good

Very fast delivery. Thank you seller. Been using the phone for two days and the performance is smooth and great. 👍",2024-03-11
e2qzgmkq1y,"Performance:seletep tu tambah sikit macam nak terkeluar dari parcel
Quality:ok macam iphone 🤣

Best..tulis pre order..tapi hari yang sama process order and drop kat siput ninja van..janji selamat sampai...beli time flash sale.. 6100-800 vocher kedai-120 shoppee vocher = 5.3..ok lah dari takde🤣😂",2024-03-02
cktiam,"Quality:good quality
Performance:overall good

Just the delivery of ninja van was so slow hope seller can change to shopee delivery",2024-03-08
n*****e,"Quality:Excellent

Also get 365 ESD and free extended warranty. Brilliant shop and will buy here in the future.",2023-11-08
r*****d,"Seller shipped my iphone 1 day late but luckily I received the item according to original ETA. Im the 1 who texted seller to ship my item quickly. I give 5 stars to seller for that service. 5 star.

For the iphone15promax itself, i have been using it for 3 weeks now. I think the battery is not really good compared to my 11pro. It has shorter life. I reset my 15promax but this time without transferring any data from my 11pro, the battery has since improved but still I think, not long enough - about 1 days 6 hours it is ok. 

Before i bought it, i found on twitter some people complaints about their battery too. Promax compare to Pro, promax supposed to have more battery capacity because the battery is bigger. For the promax battery, i think i give 2 stars. The rate i give here for the iphone (battery) not the seller service. Seller service is 5 stars.",2024-03-15
i*****i,"Quality:Ninjavan took forever to delivery,  domestic delivery so many days funny
Performance:Ninjavan took forever to delivery,  domestic delivery so many days funny

Ninjavan took forever to delivery,  domestic delivery so many days funny",2024-03-10
l*****_,"Performance:ok
Quality:ok

Unsatisfied with the delivery, my phone was hot after, I believe my parcel was put under sun",2024-02-29
renee89,"Performance:Overall is okay, but delivery super slow
Quality:Genuine Set

Delivery super slow .",2024-03-07
k*****s,Your data plan is expiring soon !Stay on 30 days Data Plan RM30 and above & RENEW ON TIME to enjoy Extra FREE 5GB valid for 5 days @ https://cd.link/ax3d T&C.,2024-02-27
p*****g,"Quality:original ZP set
Performance:good

penhantaran pantas dengan packaging terbaik..",2024-02-28
azrawrr,"i bought this for only 5k, its so much cheaper than my 14 pro 🤣🤣 however , color is so much greyer compared to the display hoho",2024-02-25
chunhau008,"Item arrived with safe and good condition 
But not my set…why?",2024-02-29
pamietakasago,Beli masa sale dpt harga murah sgt dari kedai terbaik cantik gila bos,2024-03-11
esmedvj,"Performance:nicely packed and secured.
Quality:Authentic with a serial no.",2024-02-27
r*****p,received in good product thank you seller👍fast delivery!!,2024-03-14
c*****8,"Unboxing my iPhone and found a dirt marked underneath rear glass which is not so obvious unless point to certain angle. Why Apple always had this kind of low class cosmetic issue? Report to seller but seller refuses to exchange due to my device activated. I can only accepted what to do. In conclude, iPhone Cosmetic issues always consumer’s responsibility. They had no responsible on this. We have to bet our luck on a perfect blink blink set, or else switch to S24 ultra.",2024-03-18
edwinwongkh,"Quality:parcel receive in good packing and speedy delivery
Performance:awesome",2024-03-09
a*****_,"Performance:Excellent performance
Quality:Excellent quality

Apple always Apple!",2024-02-21
i*****i,"Quality:good quality
Performance:good performance

Good product,  apple always apple!",2024-02-29
philiptown_store,Good product quality and good value for money. Recommended,2024-02-18
n*****u,"Quality:good performance
Performance:good quality

fast shipping recommenxed to buy",2024-02-17
p*****a,"Performance:good performance
Quality:good performance

Fast shipping, good quality",2024-02-17
a*****r,"Received within date promised, will definitely consider again next year.

3500 coins cashback + rm29 airtag + 1 year Microsoft 365 + extra 1 year warranty",2023-11-16
chalapathipinisetty,Best seller and gave better discount than other apple resellers,2024-03-01
sheenmei83,Fast delivery. Haven't tried phone yet. Hope it works well,2024-03-20
k*****e,"Product actually from Thailand, comes with set of manual in Thai",2024-03-06
jeffnjen,Says preorder 5 days but received in 4 days!,2024-02-29
junaidi.99,Performance:okey nice. cheaper than others,2024-03-02
damonsim,fast delivery,2024-02-20
sclim1314,,2024-03-03
muhammadnabil334,Quality:mantap,2024-03-02
al3x1980,Fast and efficient,2024-03-07
henryyap0530,,2024-02-18
rickson1993,,2023-12-16
nazrinshahs,"Overall okay and nice packaging. Got Rm 800 voucher and rm 50 discount from shoppee. Buat second phone, will repeat lg dgn It World❤️

Overall okay and nice packaging. Got Rm 800 voucher and rm 50 discount from shoppee. Buat second phone, will repeat lg dgn It World❤️


Overall okay and nice packaging. Got Rm 800 voucher and rm 50 discount from shoppee. Buat second phone, will repeat lg dgn It World❤️",2024-03-22
aaronl94,"Performance:excellent
Quality:excellent

Excellent seller and product. But the courier is rubbish, put my phone in the unlock post box. Anytime can be stollen away by thief. Please change your courier...  I have attached the photo that the courier left my parcel in the unlock post box at my lobby.",2024-03-09
ngancheechoong,"Performance:perfect

Thank you seller for super well pack and fast shipping also everything comes in great condition appreciate a lot",2024-03-04
ngancheechoong,"Quality:perfect

Thank you seller for super well pack and fast shipping also everything comes in great condition appreciate a lot",2024-03-04
ngancheechoong,"Quality:perfect

Thank you seller for super well pack and fast shipping also everything comes in great condition appreciate a lot",2024-03-04
amalishaa,"Performance:original product

Memang mantap beli phone thru shopee lebih banyak jimat dari retail price. Beli masa sale ramadhan 15-18 march hari tu. So far brg sampai dgn selamat. Thankyou seller.",2024-03-20
n*****n,"Performance:100/100
Quality:10000000/10

Fully satisfied with the item and services! Finally got the phone after 5 days of preorder. The phone is authentic and amazing! 💗",2024-03-03
cjen59,"Performance:Great service !

Bought at the lowest prices! Thanks!",2024-03-20
l*****i,"Quality:good
Performance:perfect

Everything is good except ninja van delivery is slow!",2024-03-14
xiiao_yen,"Performance:Good

The item arrived in good conditions but the delivery extremely slow..",2024-03-12
l*****i,"Performance:good
Quality:good

Item received in good condition, thanks seller for shipping it out fast even though it stated as pre order!",2024-03-02
j*****0,good product fast delivery will buy again next time thank you,2024-02-29
jerryngan,"Performance:appreciated

Thank you seller for super fast shipping and wellpacking also everything comes in good condition and well received appreciate a lot",2024-03-04
fayerfoo,Quality:overheat issue even with newly bought condition when charging,2024-03-18
k*****i,"Quality:great quality
Performance:good performance

Original phone and trusted 👍🏻",2024-03-09
